7504 7213
5747 5721 0.1
6473 5675 1
5569 6317 0.333333
596 1262 1
489 6988 0.5
7459 3498 0.2
2612 5999 0.2
5668 3069 0.1
2996 6589 0.5
1132 6357 0.5
2340 664 0.2
7362 3201 0.5
7404 4834 0.333333
5580 5430 0.1
2001 1984 0.333333
1472 1939 0.2
3661 615 0.1
6362 2348 0.1
4740 5344 1
2023 2540 0.333333
3229 4880 1
6221 4738 0.333333
7384 703 1
3424 6283 1
726 781 0.2
1081 5821 1
4934 1978 1
3346 4404 0.1
892 1640 1
5028 7231 0.333333
4080 6525 1
3797 5242 0.333333
2779 1186 1
6595 4610 1
466 1400 1
257 6049 1
5556 3479 1
30 2890 0.2
4356 3782 1
6522 4874 0.5
7292 1451 1
5438 1312 0.5
4386 4091 1
102 6750 1
6037 7217 1
4881 3538 1
5978 5158 1
5117 5188 1
1156 2040 0.2
2403 4626 0.5
3377 478 1
3373 1980 0.5
738 2431 1
6794 2533 1
2451 4634 1
6645 2011 1
1881 4053 0.1
596 1666 0.2
1833 6390 0.5
6852 4857 0.5
5306 730 1
5211 167 1
6428 906 0.1
296 3764 0.2
4483 6215 0.2
878 1421 1
444 3302 1
1601 7466 1
4010 1795 0.2
4523 4711 1
2159 2514 0.333333
3842 3789 1
3569 2714 0.1
2159 3010 0.5
6850 7493 0.2
1167 4436 0.1
4999 4880 1
5380 6481 0.333333
7059 6555 0.2
120 3575 1
5542 5734 0.2
254 5640 1
6206 1705 0.5
1624 7432 1
4742 6778 1
6204 4009 0.1
5150 1504 1
3831 2948 0.333333
2105 2503 1
2175 6191 1
3020 4229 0.2
6379 4484 0.333333
2087 6754 1
4446 875 0.1
1943 1681 0.1
3365 381 0.333333
1352 5532 0.333333
651 5427 1
6063 3596 0.5
6959 5771 0.5
7494 1287 1
2324 3730 1
2794 5818 0.1
4601 6328 1
6337 767 1
3412 196 1
4496 1548 0.1
3148 5767 0.2
4749 391 0.5
4918 7350 0.2
7342 3405 1
2923 5729 1
2621 4587 1
5505 5252 0.2
5328 4086 1
6832 3562 1
4782 554 1
760 7270 0.5
1797 580 1
2863 5498 0.1
1828 1400 1
2080 4323 0.1
6063 3008 1
4424 1009 0.5
5177 2401 0.2
3129 5298 1
4846 2576 0.2
4175 6905 0.1
1767 1198 0.333333
7255 125 0.333333
4717 1953 0.5
5584 98 1
740 2225 0.5
483 2714 1
1542 387 0.5
2752 7085 0.2
3955 491 0.5
5345 4666 0.5
2933 2497 0.2
4669 5816 0.333333
463 3029 1
5161 1109 1
2742 1849 1
7268 5900 0.5
4932 7443 0.5
1061 6259 0.1
6424 2710 1
2923 551 0.2
2392 7052 0.5
6995 281 1
3851 744 0.5
2661 1969 0.1
1569 4712 0.5
6271 4476 1
6182 5472 1
6481 6533 1
6361 1517 1
2796 505 1
3897 2897 1
7496 5956 0.1
1903 5871 0.333333
2907 1029 1
5021 6166 1
5049 4933 1
7041 7180 0.2
1468 6157 1
2154 1079 0.5
1614 3875 0.2
5194 269 1
819 261 1
293 5732 1
4079 4703 0.1
6267 5789 1
1727 6902 0.5
5232 6439 0.5
6705 403 1
3271 6125 1
4923 235 0.1
3144 5430 1
4262 2313 0.1
3464 6174 0.5
4970 2749 0.333333
3568 5081 1
829 2872 1
6592 600 0.333333
4526 3369 0.2
4682 6641 0.333333
5917 124 1
3524 6837 1
1399 7163 0.5
3104 3124 0.333333
6604 590 0.333333
3368 4158 0.2
2353 4988 0.5
4304 140 0.5
5190 4666 1
6479 5413 0.333333
2453 3826 0.5
6167 7350 0.1
3870 1246 0.5
7455 414 1
5773 3082 1
6841 6451 1
1550 4868 0.5
6636 1669 0.5
882 6859 0.333333
6001 5835 1
6322 4352 1
6767 3015 0.5
6545 2950 0.5
2046 6469 1
672 4738 1
7391 4076 0.1
6829 1690 1
3751 822 0.5
4381 5272 1
2174 3770 1
5379 2588 0.5
971 5419 0.333333
346 524 1
4534 2570 0.5
5201 6810 1
1446 6698 0.2
4142 6023 0.333333
266 5839 0.333333
1996 2716 1
6649 4890 1
5697 6334 0.5
5161 7305 0.5
137 3715 1
5567 4314 1
6026 2011 1
7288 7025 1
5121 7231 1
709 7497 1
4624 5557 1
2371 4702 0.333333
3888 6463 1
4057 4121 0.333333
2141 322 1
749 5890 1
1559 476 0.1
5612 3828 0.5
4923 5014 1
2754 5723 1
6423 6411 1
1369 1278 1
5142 1230 0.2
3808 5287 1
5844 3492 1
4092 4241 0.2
6653 1865 0.2
3722 7477 1
3879 4897 0.5
3764 147 0.2
3642 2634 0.2
5141 4004 1
3839 5210 1
5065 5082 0.2
6475 6991 0.5
704 3579 1
4391 2728 0.5
4619 2514 1
1171 6394 0.2
6305 6222 0.333333
5722 5928 0.333333
111 3565 0.333333
6851 7405 0.5
7317 1030 0.5
5566 1 0.5
3372 706 1
1484 5097 1
5396 5780 0.1
5346 6951 1
6257 1816 1
7315 3603 1
7072 3714 1
6896 3061 1
4427 2874 1
3104 4505 1
5204 373 0.333333
6947 1857 1
3914 3318 1
3396 4728 1
5336 3482 0.1
5994 6861 1
1140 2493 0.2
3788 1886 0.5
5968 6313 0.2
5611 1913 0.333333
1319 3181 0.333333
5237 6192 1
2812 2602 1
2232 2063 1
1100 3463 0.333333
1784 5522 0.2
2135 6662 1
2632 6514 1
5823 4979 1
817 6654 1
3883 469 1
7323 5706 0.1
5117 4582 0.5
2292 6815 1
4196 411 1
2078 5763 1
2886 394 1
2251 6594 0.333333
3502 4914 0.2
7130 5731 0.2
5167 5678 0.1
6017 5498 0.333333
1987 6679 0.333333
191 1467 0.2
4395 1728 0.333333
4190 3806 1
5939 2756 1
2910 1071 0.333333
6396 4573 0.5
3421 4199 0.2
7100 5430 0.5
7312 3943 1
5726 1994 0.5
4787 2186 0.5
6726 2645 0.5
1573 6835 1
5750 1334 1
6754 4244 0.5
2912 3137 1
48 2622 1
2915 5787 0.1
3956 1659 0.2
2992 7386 1
4770 733 1
512 3523 0.2
5486 1160 1
2827 6911 1
6492 2225 1
3724 1201 0.2
1594 1249 0.5
3664 4164 1
3660 616 0.5
3663 7176 0.5
1725 4443 0.5
5541 4955 0.5
562 2938 1
2418 1829 0.5
1672 817 1
5171 605 1
3934 2200 1
5320 5864 1
4989 5588 0.1
6318 1747 1
7160 7041 0.5
1232 1142 0.2
2395 1705 1
1150 187 1
6449 1860 0.5
2900 3095 1
4121 3093 0.333333
2654 910 1
1784 5899 0.5
1162 777 1
212 434 1
3706 1666 1
4651 4061 1
4598 1275 0.5
2438 220 0.1
5031 6689 1
4293 6874 0.1
5756 2024 0.1
1642 7376 0.1
3117 1034 0.2
6339 1247 0.2
1226 4953 1
1191 5668 0.5
6430 6330 0.333333
4352 1264 1
198 2359 1
2707 2716 0.2
4741 4536 0.5
3750 6179 0.5
1154 1792 0.5
2903 4195 0.1
1519 5421 1
1432 2676 1
1839 1602 0.5
7089 2018 0.2
1119 5784 0.1
1839 987 0.333333
1928 1793 0.2
4042 5543 0.5
6029 2761 0.5
5114 5664 1
5446 3247 0.1
6795 4680 0.5
2372 2583 1
4279 5736 1
7450 6855 0.333333
1540 4758 1
5850 6687 0.333333
7193 6793 0.5
7211 1382 0.1
5085 6496 1
3218 502 0.1
6772 3361 0.1
5499 5733 1
1892 6076 1
3871 2086 0.5
4131 3626 1
1443 5541 1
4483 5230 0.1
5195 1002 1
1163 2151 1
6364 5370 1
7309 702 1
5061 6201 0.5
1461 4157 1
3596 4093 1
1147 4288 1
3457 5731 1
1013 6279 0.5
5363 3970 1
3592 5133 0.2
4381 3994 0.5
1736 7367 1
6389 988 1
1400 2449 0.5
2487 6046 1
5660 7193 1
1020 3146 1
1921 224 0.1
181 5587 0.1
6946 5243 0.333333
4423 5688 0.333333
3334 7425 1
2948 2374 1
4827 3774 1
3359 6261 1
2049 4418 1
1459 1502 0.2
6232 6992 1
2277 7173 0.1
2291 6615 0.5
7439 7103 1
5141 2933 1
2706 1945 1
1260 6772 0.5
2263 2628 0.5
5376 4677 1
4242 2200 0.5
2319 928 1
620 3205 1
4509 5497 0.5
6137 1496 1
2013 6638 0.2
